"unix_timestamp","human_timestamp","nodeID","tc1","tc2","millisSinceHeatPulse"
"1535763695","9/1/2018 1:1:35","4","21.74219","21.75781","0"
"1535763698","9/1/2018 1:1:38","4","21.85156","21.70313","2999"
"1535763701","9/1/2018 1:1:41","4","21.78125","21.78906","5999"
"1535763746","9/1/2018 1:2:26","4","21.75781","21.78125","0"
"1535763749","9/1/2018 1:2:29","4","21.76563","21.70313","2999"
"1535763752","9/1/2018 1:2:32","4","21.67188","21.69531","6000"
"1535763755","9/1/2018 1:2:35","4","21.71875","21.76563","8999"
"1535763758","9/1/2018 1:2:38","4","21.74219","21.73438","11999"
"1535763761","9/1/2018 1:2:41","4","21.80469","21.69531","14999"
"1535763764","9/1/2018 1:2:44","4","21.82813","21.75781","18000"
"1535763767","9/1/2018 1:2:47","4","21.71875","21.67969","21000"
"1535763770","9/1/2018 1:2:50","4","21.74219","21.71875","24000"
"1535763773","9/1/2018 1:2:53","4","21.80469","21.75781","27000"
"1535763776","9/1/2018 1:2:56","4","21.8125","21.74219","30000"
"1535763779","9/1/2018 1:2:59","4","21.74219","21.69531","32999"
"1535763782","9/1/2018 1:3:2","4","21.76563","21.84375","35999"
"1535763785","9/1/2018 1:3:5","4","21.75781","21.78125","39000"
"1535764133","9/1/2018 1:8:53","4","22.27344","22.14063","0"
"1535764136","9/1/2018 1:8:56","4","22.25781","22.1875","2999"
"1535764139","9/1/2018 1:8:59","4","22.20313","22.16406","6000"
"1535764142","9/1/2018 1:9:2","4","22.25","22.17969","9000"
"1535764145","9/1/2018 1:9:5","4","22.13281","22.1875","12000"
"1535764148","9/1/2018 1:9:8","4","22.16406","22.20313","14999"
"1535764151","9/1/2018 1:9:11","4","22.22656","22.15625","17999"
"1535764154","9/1/2018 1:9:14","4","22.17969","22.16406","20999"
"1535764157","9/1/2018 1:9:17","4","22.25781","22.17969","24000"
"1535764160","9/1/2018 1:9:20","4","22.25","22.21094","26999"
"1535764163","9/1/2018 1:9:23","4","22.21094","22.25","30000"
"1535764166","9/1/2018 1:9:26","4","22.22656","22.1875","33000"
"1535764169","9/1/2018 1:9:29","4","22.25781","22.15625","35999"
"1535764172","9/1/2018 1:9:32","4","22.22656","22.22656","39000"
"1535764175","9/1/2018 1:9:35","4","22.1875","22.20313","42000"
"1535764178","9/1/2018 1:9:38","4","22.25","22.16406","45000"
"1535764181","9/1/2018 1:9:41","4","22.15625","22.22656","47999"
"1535764184","9/1/2018 1:9:44","4","22.14063","22.15625","51000"
"1535764187","9/1/2018 1:9:47","4","22.21094","22.16406","53999"
"1535764190","9/1/2018 1:9:50","4","22.22656","22.15625","57000"
"1535764193","9/1/2018 1:9:53","4","22.17969","22.1875","60000"
"1535764196","9/1/2018 1:9:56","4","22.23438","22.17969","63000"
"1535764199","9/1/2018 1:9:59","4","22.23438","22.16406","66000"
"1535764202","9/1/2018 1:10:2","4","22.21094","22.25","69000"
"1535764205","9/1/2018 1:10:5","4","22.1875","22.16406","72000"
"1535764208","9/1/2018 1:10:8","4","22.17969","22.15625","74999"
"1535764211","9/1/2018 1:10:11","4","22.25","22.17969","77999"
"1535764214","9/1/2018 1:10:14","4","22.25","22.20313","81000"
"1535764217","9/1/2018 1:10:17","4","22.1875","22.21094","84000"
"1535764220","9/1/2018 1:10:20","4","22.16406","22.17969","86999"
"1535764223","9/1/2018 1:10:23","4","22.1875","22.1875","89999"
"1535764226","9/1/2018 1:10:26","4","22.15625","22.17969","93000"
"1535764229","9/1/2018 1:10:29","4","22.20313","22.1875","96000"
"1535764232","9/1/2018 1:10:32","4","22.25","22.21094","99000"
"1535764235","9/1/2018 1:10:35","4","22.21094","22.25","101999"
"1535764238","9/1/2018 1:10:38","4","22.17969","22.22656","105000"
"1535764241","9/1/2018 1:10:41","4","22.1875","22.22656","107999"
"1535764244","9/1/2018 1:10:44","4","22.20313","22.25781","111000"
"1535764247","9/1/2018 1:10:47","4","22.20313","22.21094","113999"
